                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6217,                  3.743,                 1.9558,                0.00469,                0.38095,                0.00958,                0.00359,                 2.5416,                 3.5367,                 1.9608,               0.070811,              0.0032432,              0.0032432
                      2,                 2.5951,                 3.6667,                 1.8199,                0.00351,                0.61905,                 0.0119,                0.00349,                  2.792,                 3.6073,                 2.0658,               0.040681,              0.0064464,              0.0064464
                      3,                 2.3567,                 3.5125,                 1.6718,                0.00405,                0.71429,                0.02146,                0.00541,                 2.7938,                 3.6045,                 2.0145,               0.010418,              0.0095175,              0.0095175
                      4,                 2.2515,                 3.4151,                 1.6248,                 0.0036,                0.63492,                0.01633,                0.00547,                 2.8382,                  3.516,                 2.0707,               0.009406,               0.009406,               0.009406
                      5,                 2.3739,                 3.3908,                 1.6386,                0.00405,                0.71429,                0.01592,                0.00483,                 2.7025,                 3.4216,                 1.9148,               0.009208,               0.009208,               0.009208
                      6,                 2.2252,                 3.1011,                 1.5298,                 0.0875,                0.12698,                0.05184,                 0.0196,                 2.7822,                 3.6012,                 2.0889,                0.00901,                0.00901,                0.00901
                      7,                 2.1677,                 2.9819,                  1.615,                0.09153,                0.14286,                0.05106,                0.01514,                 2.6678,                 3.8256,                 2.0433,               0.008812,               0.008812,               0.008812
                      8,                 2.2465,                 2.7808,                 1.6058,                0.05576,                0.14286,                0.02757,                0.00741,                 2.8042,                 4.1939,                 2.1519,               0.008614,               0.008614,               0.008614
                      9,                 2.1233,                 2.7681,                 1.5144,                0.07541,                0.12698,                0.04099,                0.00938,                 2.8209,                 3.3477,                 2.1716,               0.008416,               0.008416,               0.008416
                     10,                 2.1004,                 2.6904,                 1.4851,                0.09312,                0.12698,                0.06276,                0.01924,                 2.6162,                 3.3392,                 2.0102,               0.008218,               0.008218,               0.008218
